Rank,Name,All sectors,sd,nodata,0,5,1,15,2,25,3,35,4,45,hist,Agricultural,Domestic,Industrial
86,France,1.61,0.41,0.00,1118750080.00,1116433280.00,6674156032.00,20454987776.00,3043271168.00,0.00,399283872.00,0.00,0.00,0.00,,1.59,1.62,1.61
87,Swaziland,1.60,0.05,0.00,0.00,0.00,491373.00,916279168.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.60,1.60,1.63
88,Liechtenstein,1.59,0.00,0.00,0.00,0.00,0.00,44686568.00,0.00,0.00,0.00,0.00,0.00,0.00,,-,1.59,1.59
89,Colombia,1.59,0.49,0.00,256552880.00,618566784.00,7745947648.00,6105105408.00,1014780672.00,213916304.00,473195328.00,0.00,0.00,35099460.00,,1.63,1.56,1.62
90,Ukraine,1.58,0.40,0.00,1423558272.00,629021184.00,8441123840.00,21795463168.00,4543605248.00,0.00,0.00,0.00,0.00,0.00,,1.52,1.59,1.67
91,Mongolia,1.57,0.25,0.00,0.00,1341727.00,205727504.00,460228864.00,38130960.00,8224048.00,282898.00,0.00,3655.00,103008.00,,1.63,1.57,1.51
92,Guinea Bissau,1.54,0.25,0.00,0.00,7829560.00,17119396.00,84156832.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.52,1.58,1.55
93,United States of America,1.54,0.55,832871744.00,9107045376.00,33893236736.00,207987000000.00,118472000000.00,43045072896.00,22220556288.00,4604694016.00,811350208.00,76920888.00,15689347.00,,1.80,1.34,1.40
94,Benin,1.54,0.44,0.00,0.00,9017060.00,200668544.00,0.00,0.00,27125344.00,0.00,0.00,0.00,0.00,,1.55,1.56,1.44
95,Estonia,1.53,0.58,0.00,26297336.00,406728736.00,378353408.00,50137816.00,763945856.00,0.00,0.00,0.00,0.00,0.00,,1.88,1.37,1.53
96,Singapore,1.48,0.00,0.00,0.00,0.00,2570737152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-,1.48,1.48
97,Uganda,1.45,0.17,0.00,0.00,0.00,305827520.00,181908816.00,6976867.00,155593.00,0.00,0.00,0.00,0.00,,1.43,1.48,1.39
98,Ethiopia,1.44,0.48,0.00,0.00,565599552.00,2911638528.00,2290859520.00,469298464.00,291075456.00,32672164.00,0.00,0.00,0.00,,1.44,1.47,1.60
99,Lebanon,1.44,0.44,0.00,0.00,0.00,709927168.00,593485952.00,0.00,21849748.00,0.00,0.00,0.00,0.00,,1.54,1.27,1.43
100,United Republic of Tanzania,1.43,0.32,0.00,36041000.00,322172640.00,2743690752.00,1337886592.00,71002888.00,1210044.00,0.00,0.00,0.00,0.00,,1.46,1.36,1.02
101,Suriname,1.43,0.13,0.00,0.00,1769.00,453834560.00,53813592.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.46,1.23,1.22
102,Vatican,1.42,0.00,0.00,0.00,0.00,494591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.42,1.42,1.42
103,Malawi,1.38,0.14,0.00,0.00,0.00,1111572864.00,337330944.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.36,1.44,1.46
104,Portugal,1.37,0.60,0.00,1164106112.00,373956992.00,4569058304.00,1184062208.00,2388233216.00,0.00,0.00,0.00,0.00,0.00,,1.47,1.10,1.28
105,Slovenia,1.37,0.28,0.00,0.00,140422688.00,640771584.00,206418224.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.12,1.30,1.39
106,Sweden,1.35,0.84,0.00,656575296.00,221735296.00,433997664.00,783420160.00,806733056.00,79282376.00,0.00,0.00,0.00,0.00,,1.18,1.33,1.38
107,United Kingdom,1.34,0.65,13299.00,1725159040.00,2843213312.00,3764954880.00,4038520064.00,2695402496.00,0.00,0.00,0.00,0.00,0.00,,1.74,1.40,1.21
108,Bosnia and Herzegovina,1.33,0.21,0.00,10931556.00,1952961.00,386674560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.16,1.33,1.39
109,Montenegro,1.33,0.32,0.00,5494944.00,17759540.00,135202880.00,5408578.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.35,1.33,1.33
110,Cameroon,1.33,0.48,0.00,14186603.00,224257792.00,203291488.00,312185024.00,29433304.00,5612683.00,13015807.00,0.00,0.00,0.00,,1.52,1.25,1.14
111,Republic of the Congo,1.33,0.47,0.00,8953667.00,11343538.00,40961624.00,43443452.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.46,1.41,1.15
112,Venezuela,1.28,0.35,0.00,313429024.00,651507968.00,7555979264.00,2758017024.00,278522400.00,0.00,0.00,0.00,0.00,0.00,,1.38,1.22,1.23
113,Croatia,1.28,0.46,0.00,52528856.00,88046832.00,329444320.00,113673328.00,30693892.00,0.00,0.00,0.00,0.00,0.00,,1.24,1.26,1.36
